"DateTime","Embodied cognition[en]","Cognitive science[en]","Cognition[en]"
"2009-09-27 00:00:00",0,0,0
"2009-09-28 00:00:00",0,0,0
"2009-09-29 00:00:00",0,0,0
"2009-09-30 00:00:00",0,0,0
"2009-10-01 00:00:00",143,931,3085
"2009-10-02 00:00:00",115,801,2416
"2009-10-03 00:00:00",109,690,1837
"2009-10-04 00:00:00",175,813,2291
"2009-10-05 00:00:00",161,964,3137
"2009-10-06 00:00:00",155,986,3242
"2009-10-07 00:00:00",161,992,3118
"2009-10-08 00:00:00",141,1102,3380
"2009-10-09 00:00:00",157,866,2658
"2009-10-10 00:00:00",129,707,1787
"2009-10-11 00:00:00",123,821,2265
"2009-10-12 00:00:00",122,1029,3082
"2009-10-13 00:00:00",128,1015,3464
"2009-10-14 00:00:00",115,933,3183
"2009-10-15 00:00:00",0,0,0
"2009-10-16 00:00:00",119,746,2266
"2009-10-17 00:00:00",100,675,1740
"2009-10-18 00:00:00",81,693,1880
"2009-10-19 00:00:00",139,878,3147
"2009-10-20 00:00:00",153,995,3173
"2009-10-21 00:00:00",136,889,3423
"2009-10-22 00:00:00",144,959,3222
"2009-10-23 00:00:00",123,826,2570
